"","(Intercept)","brlen.median","brlen.ratio","brlen.var","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","turnover","df","logLik","AICc","delta","weight"
"4177",5.43314717325378,NA,NA,NA,NA,1.81059149638438e-05,NA,0.000179995274426294,NA,NA,NA,NA,NA,-0.0311522115016318,5,-14606.2082403563,29222.4224843148,6500.8229120065,0
"2309",4.26633293541334,NA,NA,9.4970134046791e-09,NA,NA,NA,NA,NA,0.111447673290037,NA,NA,0.00236342828935125,NA,5,-14606.6902598884,29223.386523379,6501.78695107071,0
"4104",5.39106075633319,0.0342662631797559,1.11590432218269e-08,6.27063281305976e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0560774609123093,6,-14610.3159309315,29232.640267747,6511.04069543878,0
"2053",4.3027302147034,NA,NA,9.55427498109942e-09,NA,NA,NA,NA,NA,NA,NA,NA,0.00230633327585356,NA,4,-14612.951246469,29233.9064949389,6512.30692263068,0
"581",5.27648348974531,NA,NA,8.16957357766419e-09,NA,NA,NA,0.000245790450884948,NA,NA,-1.1962107943969,NA,NA,NA,5,-14612.3753506515,29234.7567049051,6513.15713259683,0
"121",5.46399651469484,NA,NA,NA,-6.02848866700536,-0.000343168750532603,0.00035826520080893,0.000190687245769284,NA,NA,NA,NA,NA,NA,6,-14611.4200830113,29234.8485719066,6513.24899959837,0
"837",5.27461986860949,NA,NA,8.17102821177728e-09,NA,NA,NA,0.000245015293677418,NA,0.0455573758434656,-1.22003100371167,NA,NA,NA,6,-14611.4786070622,29234.9656200086,6513.36604770032,0
"709",5.27698650071897,NA,NA,8.17089081363715e-09,NA,NA,NA,0.000245985388772547,-0.0591206626532666,NA,-1.17261116325408,NA,NA,NA,6,-14612.157727658,29236.3238612,6514.72428889176,0
"393",6.37820604110648,NA,NA,NA,-16.4923554677225,NA,NA,NA,-2.49515386539258,0.145931878451065,NA,NA,NA,NA,5,-14617.571969109,29245.1499418202,6523.55036951194,0
"137",6.39178171657998,NA,NA,NA,-16.6559518291842,NA,NA,NA,-2.27867907396612,NA,NA,NA,NA,NA,4,-14622.6341550677,29253.2723121364,6531.67273982813,0
"4100",5.39161791549248,0.0348362241862468,1.14560816174308e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0564963883595114,5,-14634.181776058,29278.3695557182,6556.76998340997,0
"835",5.27876222949749,NA,4.76519231501244e-09,NA,NA,NA,NA,0.000237511907113338,NA,0.0521674769759121,-1.21450094780442,NA,NA,NA,6,-14635.046544326,29282.101494536,6560.50192222778,0
"579",5.28087928812896,NA,4.72171037601454e-09,NA,NA,NA,NA,0.00023851714349037,NA,NA,-1.18731133662624,NA,NA,NA,5,-14636.2154023193,29282.4368082407,6560.83723593248,0
"107",5.5543393378596,NA,5.71663991427929e-09,NA,-7.07404708471916,NA,1.5612357875594e-05,0.000111188347201946,NA,NA,NA,NA,NA,NA,6,-14635.30319896,29282.6148038041,6561.01523149582,0
"707",5.28124780181996,NA,4.71135923676812e-09,NA,NA,NA,NA,0.000238690294037281,-0.0437358180547815,NA,-1.16987373256421,NA,NA,NA,6,-14636.096953411,29284.202312706,6562.60274039779,0
"2177",4.38744471162455,NA,NA,NA,NA,NA,NA,NA,-0.509912391524146,NA,NA,NA,0.00218985191985317,NA,4,-14638.1089561449,29284.2219142908,6562.62234198251,0
"91",5.55867624054333,NA,5.60043657831199e-09,NA,-7.12358441438945,1.55266976750972e-05,NA,0.000108932748091883,NA,NA,NA,NA,NA,NA,6,-14640.9008630731,29293.8101320304,6572.21055972212,0
"961",5.27673712123956,NA,NA,NA,NA,NA,NA,0.000250375483609791,-0.254902995811845,0.110731802168177,-1.15289174886455,NA,NA,NA,6,-14649.9844729176,29311.9773517193,6590.37777941108,0
"577",5.27909512670773,NA,NA,NA,NA,NA,NA,0.000251412750972202,NA,NA,-1.19674523172169,NA,NA,NA,4,-14653.0321868044,29314.0683756098,6592.46880330153,0
"833",5.2772470766562,NA,NA,NA,NA,NA,NA,0.000250644871535154,NA,0.0451880064397251,-1.22037240629093,NA,NA,NA,5,-14652.157071007,29314.3201456162,6592.72057330792,0
"705",5.27958332953729,NA,NA,NA,NA,NA,NA,0.000251602670926261,-0.057332213739961,NA,-1.17385959249218,NA,NA,NA,5,-14652.8291879014,29315.6643794049,6594.06480709665,0
"4243",5.45454505079964,NA,8.3451767911939e-09,NA,NA,2.12805679093826e-05,NA,NA,-1.24359350525422,NA,NA,NA,NA,-0.0195814221589572,6,-14653.0121935721,29318.0327930283,6596.43322072002,0
"4259",5.4546246513351,NA,8.62468651475535e-09,NA,NA,NA,2.12611475508147e-05,NA,-1.24157318412965,NA,NA,NA,NA,-0.0195689288494388,6,-14653.0787206095,29318.1658471031,6596.56627479483,0
